"Position","CrewNumber","Team","Class","OS1NOC","OS2NOC","OS3NOC","OS1DZIEN","OS2DZIEN","OS3DZIEN","OS4DZIEN","OS5DZIEN","Total"
"1","610","Musz Team","NOL","00:05:47","00:04:16","00:12:34","00:00:55","00:03:15","00:03:17","00:03:29","00:05:52","00:39:29"
"2","14","ATOM","NOL","00:05:50","00:06:08","00:24:36","00:00:51","00:02:13","00:04:23","00:03:05","00:04:25","00:51:33"
"3","123","Alfanet Team","NOL","00:07:44","00:05:48","00:15:31","00:00:51","00:01:35","00:02:50","00:11:13","00:06:07","00:51:43"
"4","77","Tomaszowska Grupa Offroadowa","NOL","00:07:00","00:04:33","00:12:45","00:01:02","00:14:27","00:04:47","00:03:59","00:07:17","00:55:54"
"5","208","MarMot","ADV","00:07:51","00:06:13","00:16:59","00:03:14","00:07:29","00:04:22","00:03:39","00:07:26","00:57:17"
"6","105","BOBER TIM EXTREME","ADV","00:11:07","00:06:46","00:27:28","00:01:08","00:05:04","00:03:24","00:06:44","00:06:17","01:08:01"
"7","8","Becki 4x4","ADV","00:09:01","00:07:05","00:23:14","00:01:49","00:07:57","00:06:05","00:05:09","00:09:12","01:09:35"
"8","4","Cesarz Team","NOL","00:10:43","00:07:23","00:15:50","00:05:01","00:08:12","00:10:36","00:04:26","00:10:36","01:12:49"
"9","103","Wikpol 4x4","NOL","00:10:48","00:05:50","00:24:38","00:01:14","00:08:17","00:07:47","00:05:12","00:11:18","01:15:09"
"10","39","Garwolin 4x4","NOL","00:19:13","00:08:47","00:20:15","00:01:07","00:06:55","00:05:30","00:04:27","00:09:03","01:15:20"
"11","101","KLIMAT TEAM","NOL","00:13:04","00:07:13","00:24:18","00:01:10","00:11:54","00:09:26","00:05:47","00:12:01","01:24:57"
"12","212","Team Okey Okey","CHL","00:17:43","00:08:59",,"00:05:07","00:08:30","00:10:18","00:10:31","00:26:43","01:27:55"
"13","316","ODKRYWCY","NOL","00:20:41","00:08:18","00:41:19","00:04:24","00:02:27","00:09:07","00:05:07","00:13:04","01:44:29"
"14","112","Apex Racing Division","ADV","00:14:16","00:07:25","00:23:04","00:05:01","00:11:18","00:06:32","00:23:33","00:16:21","01:47:33"
"15","116","TARGO TEAM","CHL","00:21:52","00:08:37",,"00:07:44","00:10:32","00:10:07","00:20:07","00:30:30","01:49:31"
"16","102","Pieczara Offroad Team","NOL","00:16:05","00:06:53","00:38:32","00:06:31","00:14:04","00:11:36","00:06:18","00:11:36","01:51:36"
"17","80","Mickey Maus","ADV","00:16:54","00:09:49","00:32:57","00:05:50","00:07:55","00:04:46","00:03:57","00:32:52","01:55:02"
"18","7","MK team","NOL","00:22:51","00:09:47","00:44:47","00:12:08","00:13:46","00:06:53","00:07:40","00:12:36","02:10:31"
"19","211","WIATA 4X4","ADV","00:15:59","00:12:26","01:25:16","00:01:12","00:06:38","00:07:20","00:10:18","00:07:43","02:26:57"
"20","1","Mudfreaks","CHL","00:32:49","00:13:29",,"00:08:02","00:14:33","00:21:37","00:20:09","00:46:18","02:36:59"
"21","66","APEX TEAM SLOVAKIA","ADV","00:08:03","00:06:06","02:07:55","00:00:58","00:05:50","00:02:56","00:03:28","00:06:20","02:41:39"
"22","115","Chojn??w 4x4","NOL","00:39:36","00:20:12","00:38:24","00:06:34","00:14:41","00:14:03","00:14:07","00:20:26","02:48:08"
"23","2","OFFROAD TEAM NABOOK","ADV","00:13:41","00:06:28","02:07:55","00:01:40","00:12:59","00:02:56","00:04:07","00:07:01","02:56:50"
"24","16","Raptor 4x4","NOL","00:21:30","00:24:15","01:13:36","00:32:12","00:22:35","00:08:53","00:10:14","00:21:12","03:34:30"
"25","414","Raptor4x4 / Zjednoczeni w b??ocie","ADV","00:32:18","00:24:37","02:07:55","00:02:32","00:04:16","00:12:06","00:10:23","00:10:30","03:44:39"
"26","6666","Gawrolin 4x4","ADV","00:21:32","00:16:25","02:07:55","00:01:30","00:19:28","00:18:09","00:35:21","00:49:18","04:49:38"
"27","303","Red Cows","ADV","00:32:18","00:24:38","02:07:55","00:08:45","00:19:28","00:18:09","00:35:21","00:49:18","05:15:52"
"28","520","Kikimora","NOL","00:59:24","00:36:22","01:50:24","00:48:18","00:33:53","00:21:05","00:21:11","00:31:49","06:02:30"
"29","606","Chmielewski Team 4x4","NOL","00:59:24","00:36:22","01:50:24","00:48:18","00:33:53","00:21:05","00:21:11","00:31:49","06:02:30"
